Type,City,Province,Effective Date
Plastics straws,Qualicum Beach,BC,01-Jan-19
Plastics straws,Tofino,BC,09-Jun-19
Plastics straws,Ucluelet,BC,09-Jun-19
Plastics straws,Courtenay,BC,01-Jul-19
Plastics straws,Cumberland,BC,01-Jul-19
Plastics straws,Richmond,BC,22-Jul-19
Plastics straws,Squamish,BC,17-Dec-19
Plastic bags,Leaf Rapids,MB,02-Apr-07
Plastic bags,Huntingdon,QC,01-Jan-08
Plastic bags,Deux-Montagnes,QC,01-Jul-09
Plastic bags,Saint-Anselme,QC,01-Jul-09
Plastic bags,Thompson,MB,31-Dec-10
Plastic bags,The Pas,MB,13-Jun-16
Plastic bags,Snow Lake,BC,05-Jul-16
Plastic bags,Brossard,QC,01-Sep-16
Plastic bags,Montreal,QC,01-Jan-18
Plastic bags,Calixa-Lavallee,QC,01-Jan-18
Plastic bags,Contrecoeur,QC,01-Jan-18
Plastic bags,Saint-Amable,QC,01-Jan-18
Plastic bags,Sainte-Julie,QC,01-Jan-18
Plastic bags,Saint-Mathieu-de-Beloeil,QC,01-Jan-18
Plastic bags,Varennes,QC,01-Jan-18
Plastic bags,Vercheres,QC,01-Jan-18
Plastic bags,Mascouche,QC,22-Apr-18
Plastic bags,Sainte-Martine,QC,22-Apr-18
Plastic bags,Saint-Bruno-de-Montarville,QC,22-Apr-18
Plastic bags,Saint-Lambert,QC,22-Apr-18
Plastic bags,Beauharnois,QC,22-Apr-18
Plastic bags,Mont-Saint-Hilaire,QC,22-Apr-18
Plastic bags,Saint-Jean-Baptiste,QC,22-Apr-18
Plastic bags,Saint-Basile-le-Grand,QC,22-Apr-18
Plastic bags,Sainte-Marthe-sur-le-lac,QC,22-Apr-18
Plastic bags,Longueuil,QC,01-Sep-18
Plastic bags,Prevost,QC,01-Nov-18
Plastic bags,Beloeil,QC,01-Apr-19
Plastic bags,Pincourt,QC,22-Apr-19
Plastic bags,Saint-Sauveur,QC,22-Apr-19
Plastic bags,,PE,01-Jul-19
Plastic bags,Candiac,QC,01-Jul-19
Plastic bags,Delson,QC,01-Jul-19
Plastic bags,La Prairie,QC,01-Jul-19
Plastic bags,Lery,QC,01-Jul-19
Plastic bags,Mercier,QC,01-Jul-19
Plastic bags,Saint-Constant,QC,01-Jul-19
Plastic bags,Sainte-Catherine,QC,01-Jul-19
Plastic bags,Saint-Isidore,QC,01-Jul-19
Plastic bags,Saint-Mathieu,QC,01-Jul-19
Plastic bags,Saint-Philippe,QC,01-Jul-19
Plastic bags,Sainte-Anne-de-Bellevue,QC,01-Jul-19
Plastic bags,Dunham,QC,01-Sep-19
Plastic bags,Sainte-Anne-des-Plaines,QC,01-Oct-19
Plastic bags,Bromont,QC,01-Nov-19
Food packaging,Richmond,BC,22-Jul-19
Plastic Bags,Squamish,BC,17-Dec-19
Plastic Bags,Jasper,AB,04-Aug-19
Plastic Bags,Richmond,BC,22-Jul-19
Plastic Bags,Rossland,BC,15-Jul-19
Plastic Bags,Wetaskiwin,AB,09-Jul-19
Plastic Bags,Courtenay,BC,01-Jul-19
Plastic Bags,Cumberland,BC,01-Jul-19
Plastic Bags,Salmon Arm,BC,01-Jul-19
Plastic Bags,Tofino,BC,09-Jun-19
Plastic Bags,Ucluelet,BC,09-Jun-19
Plastic Bags,Qualicum Beach,BC,01-Jan-19
Plastic Bags,Victoria,BC,01-Jul-18
Plastic Bags,Fort McMurray,AB,10-Oct-12
